ID_Contrato,Nome_Assessoria,Data_Envio_Assessoria,Dias_Em_Atraso_Inicial,Valor_Inadimplente_Inicial,Status_Cobranca,Score_Interno_Risco,Regiao_Cliente
CONTR_2026_00001,Vertice Asset e Cobranca,2026-02-24,49,25007.89,Acordo Firmado,39.0,Sudeste
CONTR_2026_00002,Vertice Asset e Cobranca,2026-04-06,38,8448.59,Acordo Firmado,3.0,Sudeste
CONTR_2026_00003,Acerta Credito Integrado,2026-02-05,152,1951.4,Insucesso,51.0,Sudeste
CONTR_2026_00004,Nexus Mediacao Financeira,2026-04-24,84,4295.12,Em Aberto,68.0,Centro-Oeste
CONTR_2026_00005,Fenix Recuperacao de Credito,2026-02-06,52,4700.91,Acordo Firmado,30.0,Sudeste
CONTR_2026_00006,Fenix Recuperacao de Credito,2026-04-22,73,3017.85,Em Aberto,67.0,Nordeste
CONTR_2026_00007,Fenix Recuperacao de Credito,2026-01-14,91,2097.28,Em Aberto,68.0,Sul
CONTR_2026_00008,Acerta Credito Integrado,2026-01-27,78,7419.47,Ajuizado,58.0,Centro-Oeste
CONTR_2026_00009,Nexus Mediacao Financeira,2026-03-24,51,2825.15,Em Aberto,77.0,Nordeste
CONTR_2026_00010,Acerta Credito Integrado,2026-01-31,63,6099.55,Acordo Firmado,53.0,Nordeste
CONTR_2026_00011,Fenix Recuperacao de Credito,2026-04-20,125,3147.39,Em Aberto,14.0,Sudeste
CONTR_2026_00012,Vertice Asset e Cobranca,2026-03-14,47,4728.49,Em Aberto,10.0,Nordeste
CONTR_2026_00013,Acerta Credito Integrado,2026-04-12,30,3255.3,Em Aberto,78.0,Nordeste
CONTR_2026_00014,Fenix Recuperacao de Credito,2026-03-22,78,3853.09,Acordo Firmado,81.0,Nordeste
CONTR_2026_00015,Fenix Recuperacao de Credito,2026-03-24,32,7785.08,Insucesso,22.0,Nordeste
CONTR_2026_00016,Fenix Recuperacao de Credito,2026-02-13,62,11963.28,Acordo Firmado,51.0,Sudeste
